OBJECTID	NUTS_ID	CNTR_CODE	NUTS_NAME	NAME_LATN	NAME_ASCI	NAME_HTML
980	FR6	FR	Sud-Ouest	Sud-Ouest	Sud-Ouest	Sud-Ouest
981	FR61	FR	Aquitaine	Aquitaine	Aquitaine	Aquitaine
982	FR611	FR	Dordogne	Dordogne	Dordogne	Dordogne
983	FR612	FR	Gironde	Gironde	Gironde	Gironde
984	FR613	FR	Landes	Landes	Landes	Landes
985	FR614	FR	Lot-et-Garonne	Lot-et-Garonne	Lot-et-Garonne	Lot-et-Garonne
986	FR615	FR	Pyrénées-Atlantiques	Pyrénées-Atlantiques	Pyrenees-Atlantiques	Pyr&#x00E9;n&#x00E9;es-Atlantiques
987	FR62	FR	Midi-Pyrénées	Midi-Pyrénées	Midi-Pyrenees	Midi-Pyr&#x00E9;n&#x00E9;es
988	FR621	FR	Ariège	Ariège	Ariege	Ari&#x00E8;ge
989	FR622	FR	Aveyron	Aveyron	Aveyron	Aveyron
990	FR623	FR	Haute-Garonne	Haute-Garonne	Haute-Garonne	Haute-Garonne
991	FR624	FR	Gers	Gers	Gers	Gers
992	FR625	FR	Lot	Lot	Lot	Lot
993	FR626	FR	Hautes-Pyrénées	Hautes-Pyrénées	Hautes-Pyrenees	Hautes-Pyr&#x00E9;n&#x00E9;es
994	FR627	FR	Tarn	Tarn	Tarn	Tarn
995	FR628	FR	Tarn-et-Garonne	Tarn-et-Garonne	Tarn-et-Garonne	Tarn-et-Garonne
996	FR63	FR	Limousin	Limousin	Limousin	Limousin
997	FR631	FR	Corrèze	Corrèze	Correze	Corr&#x00E8;ze
998	FR632	FR	Creuse	Creuse	Creuse	Creuse
999	FR633	FR	Haute-Vienne	Haute-Vienne	Haute-Vienne	Haute-Vienne
1000	FR7	FR	Centre-Est	Centre-Est	Centre-Est	Centre-Est
1001	FR71	FR	Rhône-Alpes	Rhône-Alpes	Rhone-Alpes	Rh&#x00F4;ne-Alpes
1002	FR711	FR	Ain	Ain	Ain	Ain
1003	FR712	FR	Ardèche	Ardèche	Ardeche	Ard&#x00E8;che
